"Group","ABCA1","ACTA2","AOC2","CD247","CLDN9","CYSLTR1","DLG3","DOCK5","EPHB2","FCAR","FEZ1","FHL1","FLNA","GLIPR1","GMFB","GRB10","HPD","ITPKC","KANK3","KAZN","KYNU","LONRF1","LTBP4","LY96","LYST","MGLL","MLC1","NCAM1","NKTR","PELP1","PRUNE2","PTGS1","SCARB2","SMPDL3A","SNX13","SPTB","SRSF7","ST6GALNAC2","TAP2","TGFBR3","TNFAIP6","TTC38","VCAN","VNN1","WASHC4","ZDHHC17"
0," 4.234856"," 3.778874"," 4.178487","11.165906"," 6.364673"," 2.978326"," 6.126484"," 3.035409"," 6.541583"," 5.186508"," 5.428944"," 7.105641","11.141772","11.225521"," 8.461757"," 3.486814"," 4.549289"," 6.202121"," 5.568803"," 3.919167"," 9.000576"," 7.162394"," 6.346179"," 9.896451"," 4.978628"," 8.021584"," 5.899550"," 4.311172"," 8.067357"," 6.552454"," 2.885053"," 7.679772"," 5.274809"," 8.376178"," 7.181040"," 5.282805","11.017004"," 6.012492"," 3.665869"," 9.614818"," 8.538429"," 6.451336","11.444567"," 6.953928"," 8.576662"," 7.993004"
0," 4.013158"," 3.529708"," 4.264833","11.349237"," 5.839548"," 3.032534"," 6.146226"," 3.151213"," 6.626925"," 5.131870"," 8.169235"," 7.232413","11.339072","11.621306"," 8.440729"," 3.534257"," 4.565244"," 5.991861"," 4.928982"," 4.130932"," 8.485000"," 7.356587"," 6.444278"," 9.728726"," 5.462208"," 6.906971"," 6.828291"," 4.692400"," 8.174703"," 6.482742"," 2.980121"," 7.211455"," 5.376702"," 8.248470"," 7.178882"," 5.364297","11.048857"," 6.636916"," 3.683020"," 9.774261"," 7.810914"," 6.581299","11.266884"," 6.333703"," 8.505701"," 8.068215"
0," 3.931136"," 3.687920"," 4.321174","11.835846"," 5.899053"," 3.572335"," 6.479458"," 3.044192"," 6.662407"," 4.687522"," 8.511242"," 6.797844","10.857448","10.545849"," 8.771425"," 3.490837"," 4.681435"," 5.897012"," 5.166974"," 4.098244"," 8.355044"," 6.893670"," 5.957396","10.188097"," 5.227351"," 7.587866"," 7.603225"," 4.396127"," 7.278009"," 6.513484"," 3.218216"," 6.553051"," 4.810671"," 8.061378"," 7.455194"," 5.485034","10.482173"," 6.633481"," 3.313110"," 9.604977"," 7.248927"," 6.313910","11.183204"," 5.996951"," 8.145445"," 8.413646"
0," 3.248839"," 3.491309"," 4.357957","10.817196"," 5.919902"," 3.215922"," 6.138221"," 2.893376"," 6.425493"," 5.126204"," 6.103794"," 6.951791","10.661179","11.164825"," 8.708678"," 3.576671"," 4.594717"," 5.896190"," 4.966408"," 3.854456"," 8.416714"," 6.985593"," 5.990596"," 9.624865"," 5.507444"," 7.102135"," 5.238105"," 4.623295"," 8.243807"," 6.674669"," 2.942226"," 6.685072"," 5.041823"," 7.538195"," 7.258414"," 5.270556","11.085428"," 6.423621"," 3.449590"," 8.863434"," 6.038294"," 6.239917","11.453539"," 7.478081"," 8.850998"," 8.614473"
0," 3.119103"," 3.759737"," 4.257846","11.951611"," 5.725514"," 3.232412"," 6.391324"," 2.727511"," 6.422175"," 4.493001"," 7.787987"," 6.385571","10.769503","11.122250"," 8.761765"," 3.346122"," 4.301862"," 6.037674"," 5.395213"," 4.091431"," 8.293878"," 6.480520"," 6.591039"," 9.877536"," 5.466219"," 6.776778"," 6.835936"," 4.520174"," 7.853542"," 6.625685"," 2.949844"," 6.079015"," 4.612428"," 7.373057"," 7.390508"," 5.084110","10.501275"," 6.391086"," 3.224788"," 9.882695"," 5.295613"," 6.232787","11.134201"," 7.747857"," 9.037267"," 8.544889"
0," 3.381585"," 3.774574"," 4.284413","11.480174"," 5.701334"," 3.437915"," 6.218571"," 2.967760"," 6.225694"," 4.985908"," 7.080259"," 5.965366","11.183164","10.002049"," 8.557728"," 3.440029"," 3.953158"," 6.019769"," 5.294550"," 4.193669"," 8.230966"," 7.466437"," 5.857877"," 9.721808"," 4.527218"," 7.148533"," 6.904772"," 4.330545"," 8.804371"," 6.663165"," 3.098264"," 5.680316"," 5.672278"," 7.504010"," 6.592579"," 5.251005","10.845212"," 6.332040"," 3.527519"," 9.773890"," 6.130847"," 6.515355"," 9.800641"," 4.863353"," 8.007086"," 8.048051"
0," 3.629093"," 3.257192"," 4.240706","10.997586"," 5.921246"," 3.081239"," 5.796737"," 2.750845"," 6.501039"," 4.702092"," 6.413471"," 6.946846","11.243228","10.822398"," 8.398697"," 3.686663"," 4.389433"," 5.947126"," 5.150757"," 4.027043"," 8.320051"," 6.490988"," 6.261966"," 9.793838"," 5.046309"," 7.676987"," 6.231489"," 4.289292"," 8.352737"," 6.920804"," 3.264408"," 6.974236"," 5.522125"," 7.101482"," 6.816864"," 5.192642","10.578993"," 6.500195"," 3.394902"," 8.614473"," 5.886929"," 6.281473","11.143834"," 7.774541"," 8.548280"," 8.126330"
0," 3.412558"," 3.829331"," 4.112043","11.512668"," 6.074835"," 2.994825"," 6.498864"," 2.817459"," 6.580776"," 5.059891"," 7.732078"," 7.046364","11.165867","10.860893"," 8.574088"," 3.919924"," 4.381446"," 5.620117"," 5.629369"," 3.850840"," 8.209446"," 6.332718"," 6.245669"," 9.763279"," 5.058597"," 6.639738"," 6.848764"," 4.292534"," 8.760272"," 6.731001"," 3.031533"," 6.401325"," 5.512797"," 7.321684"," 7.139799"," 5.113393","11.218013"," 6.464825"," 3.319538"," 9.981397"," 4.964504"," 6.364402","11.178683"," 7.241986"," 8.461747"," 8.337570"
0," 3.160825"," 3.536769"," 4.431801","10.811611"," 5.914447"," 3.238612"," 5.948270"," 2.768557"," 6.497822"," 4.351795"," 5.617278"," 8.428801","10.532771","11.426603"," 8.370602"," 3.162391"," 4.579715"," 5.498920"," 4.950760"," 3.860634"," 8.848045"," 6.224537"," 6.257397","10.351535"," 5.833314"," 8.238904"," 6.142243"," 4.211973"," 7.762060"," 6.386927"," 3.163106"," 8.689261"," 4.723271"," 8.151025"," 7.501163"," 5.265951","10.164508"," 6.070601"," 3.487176"," 7.862361"," 4.208985"," 6.154775","11.242326"," 7.802424"," 8.660670"," 8.368181"
0," 3.217265"," 3.533954"," 4.271840","11.454055"," 5.961982"," 3.410325"," 5.519103"," 2.741619"," 6.656566"," 4.082508"," 7.480863"," 7.042265","10.632464","11.170665"," 8.683393"," 3.446795"," 4.495843"," 5.768663"," 5.487809"," 3.775209"," 8.515605"," 4.718542"," 5.682105","10.362420"," 5.418467"," 7.525158"," 6.963811"," 4.639724"," 7.602301"," 6.851276"," 3.694325"," 6.570451"," 4.823258"," 8.105318"," 7.356414"," 5.068343"," 9.660894"," 6.459251"," 3.275301"," 8.490914"," 4.537160"," 6.341834","11.968650"," 8.668201"," 8.875449"," 8.424886"
