"","Group","ACTB","ARID4B","ASXL1","ASXL3","ATAD2B","ATF2","ATR","BAZ1B","BAZ2A","BRCA1","BRD1","BRD2","BUB1","CDC6","CDK2","CHAF1A","CHD1","CLNS1A","CSNK2A1","CTBP2","CUL4B","DAPK3","DAXX","DNAJC2","DZIP3","E2F6","EID1","EP300","ERBB4","EXOSC2","EXOSC7","EXOSC8","EYA1","EYA4","EZH1","GADD45B","GATAD1","HDAC3","HDAC4","HDAC6","HMG20B","HMGB1","HUWE1","ING2","JMJD6","KAT5","KAT6A","KDM4A","KDM4B","KDM4C","KDM5A","KDM5B","KDM6B","L3MBTL1","MACROH2A1","MBD4","MBTD1","MSL3","MTF2","MYO1C","NAP1L1","NCOA2","NCOR1","NCOR2","NEK9","NFRKB","NFYC","NIPBL","NPAS2","NPM1","PARP2","PELP1","PHC3","PHF14","PHF8","POGZ","PRDM2","PRKAA1","PRKAB2","PRKAG2","PRKCA","PRKDC","PRMT1","PRPF31","RAD54L2","RAG1","RBBP5","RNF8","RRP8","RYBP","SAFB","SAP30","SATB2","SENP3","SET","SETD1A","SETD1B","SF3B1","SFPQ","SMARCA4","SMARCA5","SNAI2","SP1","SRCAP","SRSF3","SYNCRIP","TAF5L","TAF6L","TDRD3","TDRD7","TLE2","TLE4","TLK2","TP53BP1","TRIM24","TRIM33","TRRAP","UBE2N","UBR2","USP46","VDR","YWHAE","YWHAZ","YY1","ZMYND8","ZNF592"
"1",0,14.021444,4.247801,7.977237,2.975636,6.238334,7.690509,7.737724,6.13165,5.959335,5.479143,7.988157,9.882281,2.758261,2.807827,5.841305,6.868443,9.33769,9.573409,8.68182,6.893357,9.089536,6.016253,7.800995,8.858464,6.005635,4.966852,8.852664,6.325297,3.269183,6.865526,8.137196,8.343495,4.252834,3.125016,3.096924,6.106241,6.972593,8.643161,6.769734,6.705802,4.730831,12.454747,3.524529,3.154152,5.926985,8.228668,3.867615,6.599104,7.513425,5.433726,6.946677,6.220074,8.85778,5.92924,11.347031,8.184121,3.999413,6.42063,6.404722,7.694449,11.78318,6.460508,8.026723,5.916665,6.786071,7.514788,7.238934,6.910857,5.389868,12.309369,6.464165,6.552454,4.371107,2.500924,3.525763,5.219367,3.380971,5.512846,4.797911,2.569879,8.125764,3.161075,9.422709,5.044511,7.495726,3.670117,5.90467,3.753696,3.448319,9.638291,6.155806,4.895951,4.254302,3.923656,10.817386,6.530368,9.086171,11.41298,9.514773,3.845976,9.0599,2.909546,4.880079,4.297165,9.210837,8.955763,7.198135,5.337525,6.060426,6.684739,5.569917,3.550102,7.647865,6.246036,6.34347,4.39675,5.821547,9.057821,6.826211,4.24104,4.670136,7.922092,11.752731,6.738941,4.191691,7.263706
"2",0,14.078517,4.420593,7.674027,3.02382,6.057015,7.354813,7.777479,5.857801,5.86808,5.73984,7.988567,10.060329,3.145053,2.852523,5.842972,6.860726,9.537028,9.588038,8.385963,7.051745,9.108202,5.666206,7.715463,8.826486,6.840905,5.026899,8.89338,6.143249,3.295128,6.640004,8.067578,8.204475,4.401218,3.152217,3.060279,6.318679,7.013243,8.55203,6.65789,6.633722,4.52836,12.309266,4.040729,3.367159,5.619288,7.914945,4.249127,6.230961,6.977055,5.430449,7.281284,6.368815,8.830936,5.441545,11.332738,8.165126,3.820861,6.285417,6.313281,7.533878,11.895861,6.545434,7.923954,5.816441,6.851237,7.215504,7.12683,6.604434,5.333545,12.22206,6.21209,6.482742,4.671713,2.301432,3.990256,5.486861,2.769541,5.663875,4.744546,2.625175,7.217249,3.115502,9.42402,5.216908,7.677088,3.585315,6.033892,3.896319,3.172323,9.57442,6.266177,4.881452,4.024141,3.738981,10.85034,6.449445,9.187742,11.345439,9.299729,3.629307,9.070117,2.570816,5.201077,4.455394,9.107991,9.004402,7.163733,5.364297,6.021911,6.847481,5.776164,3.259324,7.339949,6.537508,6.529516,4.651331,5.971871,9.015584,7.058483,4.442474,4.708519,8.225951,11.806862,7.278941,4.639682,7.189475
"3",0,13.927022,3.993874,7.526053,2.643376,7.057811,7.958967,8.644948,5.846171,5.712589,5.763904,8.166098,9.743076,2.933498,3.1389,5.443091,6.815566,9.191822,9.812636,8.722211,7.961453,9.261954,5.951141,7.754938,8.991206,7.139085,5.581387,8.897937,6.722051,3.082919,6.485112,8.629839,8.939878,3.931136,3.005854,3.017879,7.473625,7.138912,8.789944,7.064463,6.340558,4.374702,12.312902,3.650019,3.531912,5.4995,7.937544,3.932623,6.566415,7.500837,5.086506,6.596615,6.975108,7.429554,5.573683,11.339346,8.910859,3.46099,6.703634,6.781102,7.282631,11.626591,6.257412,8.077644,5.869095,6.577602,7.564744,6.547364,7.307722,5.345062,12.483068,6.819357,6.513484,4.395317,2.528171,3.472386,5.039756,3.295927,5.062909,4.247681,2.841294,8.25015,3.100456,9.475918,4.934386,7.69021,3.287291,4.932443,3.668683,3.413546,9.144577,5.82764,5.793601,4.331033,4.006104,11.113639,6.863014,9.508895,11.606841,9.881462,3.844092,9.247231,2.728692,4.878291,4.395365,9.292495,8.474742,7.586505,5.436513,6.364982,7.841834,6.231971,3.50842,7.598753,6.66414,6.922993,4.114192,5.987355,9.024199,7.871698,5.207579,4.310752,6.166445,11.438639,7.032315,4.406591,7.325919
"4",0,13.89885,4.097125,7.974465,2.844787,6.843237,8.322243,8.806084,6.302632,5.764286,5.299926,8.03291,9.873042,2.853603,2.72343,5.929262,6.748317,9.458761,9.882983,8.696837,6.856479,9.102559,5.798698,7.761934,9.321776,7.402254,6.130595,8.89416,7.11872,3.036885,6.815279,8.306452,9.12504,4.029664,2.772428,3.235986,7.117201,6.97264,8.903964,7.040763,6.416684,4.597571,12.379486,3.713761,3.296742,6.209982,7.939152,4.410631,6.465023,7.617618,5.452623,6.885189,6.966758,7.949753,6.157925,11.208078,8.988603,3.976922,6.916918,6.813122,7.682729,11.7801,6.622497,7.619216,5.660937,6.784614,7.765341,6.519006,7.373782,4.960209,12.773434,6.736751,6.674669,4.658324,2.589551,3.617286,5.671733,3.049988,6.637239,4.284599,2.891099,8.419443,2.853873,9.506367,4.742807,7.581063,3.478587,5.465967,3.667519,3.503603,9.242745,6.113438,5.412469,4.224497,4.326361,10.965047,6.657888,9.452685,11.758692,10.427044,3.765659,9.603764,2.538635,4.767353,4.356429,9.464554,8.782272,7.578261,5.337525,6.529732,7.613393,6.419219,3.561059,7.537032,6.603689,6.780549,4.526714,5.762928,9.018436,8.159251,4.750071,4.230569,6.667706,11.4475,7.058645,4.542763,7.014907
"5",0,13.998594,3.872697,7.555376,2.851477,7.442863,8.85018,9.003055,6.590188,5.872947,5.622688,7.830981,9.902043,2.736712,2.858652,6.085882,6.728648,9.117028,9.82438,8.937347,7.925997,9.250421,5.9262,8.200594,8.751124,7.224053,6.246043,9.009984,6.697545,3.145364,6.734116,8.254582,8.973042,3.828496,3.058321,3.208182,6.751613,7.004327,8.872639,7.214632,6.503051,4.457509,12.490686,3.788707,3.314025,5.857652,7.860283,3.938854,6.860478,7.09701,5.570997,6.905091,6.740158,6.46305,5.813336,11.209722,8.966288,3.697112,6.791869,7.025875,7.631986,11.451832,6.244086,7.968906,5.622688,6.894661,7.547758,6.609348,8.041769,5.007745,12.65911,6.812246,6.625685,4.92829,2.543986,3.610863,5.180242,3.030282,5.414086,4.770862,2.595259,7.849281,2.990101,9.779522,5.000304,7.334992,3.692852,5.590807,3.844545,3.276228,8.930962,6.141494,5.916369,4.846951,4.028692,11.043667,6.616635,9.226299,11.586584,9.648232,3.828825,9.506827,2.8967,5.516108,4.253258,9.230462,8.813652,7.672287,5.58619,6.722043,8.071818,5.60685,3.552271,7.565869,6.342892,6.917547,4.53821,5.799731,9.064231,8.592726,5.067522,4.292542,6.746894,11.445383,6.890997,4.563455,6.705707
"6",0,13.99457,4.022767,7.885168,3.002299,6.550026,7.718912,8.269576,6.264952,6.222685,5.407473,8.047097,10.29674,2.93148,3.294883,5.872409,7.005945,9.279237,9.908994,8.758566,7.025585,9.206661,6.435063,8.205305,8.882364,6.753623,5.293919,8.59458,6.088089,3.259717,6.461428,8.492783,8.683009,4.130097,3.019444,2.918873,6.464119,7.069389,8.837672,6.960324,6.257522,4.669975,12.504452,3.471676,2.959818,5.787664,8.201503,4.349327,6.51919,7.455747,6.045755,6.938221,6.472732,8.868877,5.764936,11.248078,8.637134,3.911529,6.737801,6.381315,7.837346,11.947559,7.378888,7.743179,5.850916,6.082493,8.010504,6.622131,6.662635,5.694872,12.660183,6.674174,6.663165,4.573619,2.565959,3.601144,5.68748,3.236464,5.962167,4.536908,2.851545,8.1256,2.861652,9.529321,4.986037,8.115737,3.692852,6.013573,3.740038,3.048114,9.131134,6.76755,4.941019,4.165369,4.110947,10.997821,6.498926,9.593382,11.10787,9.751616,4.123652,9.286198,2.672511,4.944914,4.332377,9.304427,9.265968,7.193161,5.099283,6.408897,7.428803,6.166759,2.970953,7.339839,6.880798,6.699844,5.103801,5.913188,8.695188,7.469826,4.525596,4.488568,7.342204,11.554362,6.841924,4.231672,7.336045
"7",0,13.983548,3.860197,7.440083,2.955346,6.647325,7.769714,8.104597,6.219035,5.959052,5.857132,7.860928,9.960989,2.879655,2.869034,5.79688,6.871089,9.161192,9.989284,8.74515,6.908785,9.13483,5.728041,7.941173,8.96719,6.845071,5.295897,8.68359,6.279553,3.067889,6.481241,8.293036,8.434634,4.447526,2.793372,3.008503,6.142961,7.035858,8.711415,6.510114,6.562594,4.271149,12.457405,3.818718,3.074563,5.412413,8.007585,3.981517,6.182599,7.581486,5.675015,7.590771,6.468972,8.366255,5.868643,11.490862,8.723388,3.693359,6.575359,6.530817,7.926492,12.135089,6.906087,7.847233,5.852867,6.687464,7.441236,7.05818,7.015463,5.743967,12.488036,6.525172,6.920804,4.454605,2.559618,3.591557,5.669663,3.261162,6.025771,4.548533,2.622883,8.202143,3.046311,9.390806,4.815127,7.720794,3.363831,5.955859,3.834422,3.277221,9.529628,6.397129,5.061363,4.244522,3.861232,10.946296,6.818152,9.248854,11.288605,9.549858,3.548194,9.067877,2.75303,4.997278,4.331376,8.995374,8.861372,7.20441,5.534647,6.349273,7.240358,6.182567,3.121818,7.550768,6.786586,6.433792,4.640373,6.197867,8.949698,7.223409,4.274071,4.711186,7.853548,11.674344,6.681606,4.361928,7.295125
"8",0,13.991083,4.008869,7.843436,3.142837,6.86551,8.189654,8.20515,6.269465,6.262213,5.870329,8.170191,10.153156,2.854525,3.099298,6.030628,6.957775,9.404849,9.702919,8.97352,7.236783,9.322001,5.941586,8.019551,9.10979,6.938554,5.563969,9.045777,6.384234,3.585933,6.867252,8.49005,8.664289,3.997175,3.05085,2.911846,6.060915,6.975165,8.760303,6.68237,6.689015,4.171567,12.452563,3.561732,3.144585,5.749228,8.168236,4.105117,6.502397,7.342461,5.752301,7.286145,6.559327,8.057528,6.037662,11.284685,8.961248,4.147392,6.733403,6.90376,7.799316,11.879807,6.950204,7.931671,5.7306,7.015579,7.70227,7.051949,7.353916,5.560995,12.670818,6.96056,6.731001,4.259726,2.443611,3.337914,5.598599,2.94417,5.930532,4.892662,2.714329,7.882875,2.92489,9.528596,4.975901,7.817224,3.297642,6.317479,4.076923,3.330904,9.521592,6.658012,5.276152,4.422857,4.297047,10.827869,6.470707,9.342921,11.390273,9.644148,3.554085,9.197908,2.655185,5.51088,4.128353,9.249954,9.038659,7.243702,5.578577,6.548736,7.289082,5.60609,3.496837,7.610531,6.620814,6.733261,5.01205,5.95375,9.217011,7.663552,4.760221,4.325544,7.149444,11.866227,6.835139,4.360222,7.079878
"9",0,13.97429,4.107697,7.60849,2.722412,7.016807,8.399122,8.430849,6.123002,5.72374,5.547729,7.879518,9.373404,2.800594,3.147742,5.660528,6.725706,8.88873,10.14995,8.861918,7.054186,9.202326,5.59882,8.145577,8.61712,6.960161,6.10594,9.135953,6.294815,3.22779,7.268365,8.728787,8.741998,3.745411,2.940591,3.059402,6.493342,7.154935,8.837058,6.85687,6.735895,4.698099,12.478385,3.750121,3.763726,4.850579,7.872409,4.312195,6.692931,7.073122,5.958424,7.286191,6.951626,7.09424,5.657956,11.46756,8.885896,3.490058,6.572158,6.584506,7.525518,12.10383,6.343554,8.064978,5.318999,7.323722,7.619465,7.098615,7.601446,5.08187,12.563485,6.513097,6.386927,4.743987,2.432395,3.729902,5.188507,2.973509,5.398222,4.710731,2.502711,8.30825,2.960196,9.716881,4.856517,7.145223,3.53646,6.007789,3.697538,3.266105,9.29281,6.390143,5.631542,4.039735,3.937422,10.829612,6.507667,9.269385,11.388102,9.401493,3.631223,9.040482,2.542503,5.923294,4.111796,8.848513,8.54212,7.450637,5.705649,6.348927,7.898258,5.772429,3.373089,7.564425,6.588469,7.068416,4.283202,6.121737,9.514211,7.948249,5.298529,4.56092,7.739945,11.98169,7.166706,4.04255,6.844439
"10",0,13.966433,4.039453,7.327197,3.063078,7.565743,8.727939,8.768247,6.490019,5.898128,5.80788,8.102922,9.860949,2.781358,4.644089,5.900273,7.05433,8.93723,9.979544,9.085752,7.628388,9.362207,6.097783,8.324819,8.876062,7.376389,6.404539,8.97374,6.561308,2.993248,7.572172,8.430091,9.047555,3.801219,3.109309,3.013304,6.14909,7.273613,8.730511,7.389785,6.538777,4.700101,12.419871,3.699695,3.753448,4.960688,7.966069,3.559841,6.820373,7.217507,6.070517,7.371241,7.240311,6.613316,5.748594,11.622077,9.035366,3.396531,6.700984,7.08212,7.344721,11.586993,6.326142,8.173326,5.803762,7.268826,7.522116,7.148766,7.997407,4.962969,12.522677,7.002032,6.851276,4.865728,2.494793,3.406073,5.118738,3.277735,5.719832,4.534992,2.822517,8.145007,2.890309,9.824656,4.910015,7.281273,3.625647,6.434304,3.810069,3.247399,8.827392,6.352349,5.657899,4.05471,3.740127,11.183668,6.685602,9.293292,11.411348,9.332612,3.632986,9.2812,2.604257,6.107495,4.340948,8.762858,8.657171,7.634813,5.587423,6.550081,8.276435,6.15233,3.328204,7.840838,6.41583,7.054469,4.124038,6.282051,9.534107,8.476633,4.979054,4.654188,7.621726,11.594199,7.171717,4.673296,7.001383
