sample	treatment
GSM1406033_Control-015_HG-U133_Plus_2_.CEL	control
GSM1406034_Control-017_HG-U133_Plus_2_.CEL	control
GSM1406035_Control-024_HG-U133_Plus_2_.CEL	control
GSM1406036_Control-029_HG-U133_Plus_2_.CEL	control
GSM1406037_Control-034_HG-U133_Plus_2_.CEL	control
GSM1406038_Control-041_HG-U133_Plus_2_.CEL	control
GSM1406039_Control-050_HG-U133_Plus_2_.CEL	control
GSM1406040_Control-057_HG-U133_Plus_2_.CEL	control
GSM1406041_Control-065_HG-U133_Plus_2_.CEL	control
GSM1406042_Control-074_HG-U133_Plus_2_.CEL	control
GSM1406043_Control-093_HG-U133_Plus_2_.CEL	control
GSM1406044_Control-103_HG-U133_Plus_2_.CEL	control
GSM1406045_Control-105_HG-U133_Plus_2_.CEL	control
GSM1406046_Control-116_HG-U133_Plus_2_.CEL	control
GSM1406047_Control-127_HG-U133_Plus_2_.CEL	control
GSM1406048_Control-129_HG-U133_Plus_2_.CEL	control
GSM1406049_Control-150_HG-U133_Plus_2_.CEL	control
GSM1406050_Control-151_HG-U133_Plus_2_.CEL	control
GSM1406051_Control-166_HG-U133_Plus_2_.CEL	control
GSM1406052_Control-169_HG-U133_Plus_2_.CEL	control
GSM1406053_Control-175_HG-U133_Plus_2_.CEL	control
GSM1406054_Control-177_HG-U133_Plus_2_.CEL	control
GSM1406055_Control-180_HG-U133_Plus_2_.CEL	control
GSM1406056_145-B-4_HGU133_Plus_2.CEL	ischemic
GSM1406057_202-B-6_HGU133_Plus_2.CEL	ischemic
GSM1406058_210-B-4_HGU133_Plus_2.CEL	ischemic
GSM1406059_238-B-1_HGU133_Plus_2.CEL	ischemic
GSM1406060_263-B_HGU133_Plus_2.CEL	ischemic
GSM1406061_97-B-2_HGU133_Plus_2.CEL	ischemic
GSM1406062_CL104-0-1_HGU133_Plus_2.CEL	ischemic
GSM1406063_CL150-0-2_HGU133_Plus_2.CEL	ischemic
GSM1406064_CL22-0-5_HGU133_Plus_2.CEL	ischemic
GSM1406065_CL52-0-4_redo_HGU133_Plus_2.CEL	ischemic
GSM1406066_CL56-0-3_HGU133_Plus_2.CEL	ischemic
GSM1406067_225-B-2_HGU133_Plus_2.CEL	ischemic
GSM1406068_230-B-4_HGU133_Plus_2.CEL	ischemic
GSM1406069_235-B-1_HGU133_Plus_2.CEL	ischemic
GSM1406070_243-B-4_HGU133_Plus_2.CEL	ischemic
GSM1406071_255-B-3_HGU133_Plus_2.CEL	ischemic
GSM1406072_CL102-0-3_HGU133_Plus_2.CEL	ischemic
GSM1406073_CL109-0-3_HGU133_Plus_2.CEL	ischemic
GSM1406074_CL119-0-2_HGU133_Plus_2.CEL	ischemic
GSM1406075_CL123-0-4_HGU133_Plus_2.CEL	ischemic
GSM1406076_CL134-0-5_HGU133_Plus_2.CEL	ischemic
GSM1406077_CL16-0-3_HGU133_Plus_2.CEL	ischemic
GSM1406078_CL18-0-4_HGU133_Plus_2.CEL	ischemic
GSM1406079_145-2-1_HGU133_Plus_2.CEL	ischemic
GSM1406080_202-2-2_HGU133_Plus_2.CEL	ischemic
GSM1406081_210-2-1_HGU133_Plus_2.CEL	ischemic
GSM1406082_225-2-2_HGU133_Plus_2.CEL	ischemic
GSM1406083_230-2-5_HGU133_Plus_2.CEL	ischemic
GSM1406084_235-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406085_238-2-2_HGU133_Plus_2.CEL	ischemic
GSM1406086_243-2-5_redo_HGU133_Plus_2.CEL	ischemic
GSM1406087_255-2-5_HGU133_Plus_2.CEL	ischemic
GSM1406088_263-2_HGU133_Plus_2.CEL	ischemic
GSM1406089_97-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406090_CL102-2-5_HGU133_Plus_2.CEL	ischemic
GSM1406091_CL104-2-4_HGU133_Plus_2.CEL	ischemic
GSM1406092_CL109-2-2_HGU133_Plus_2.CEL	ischemic
GSM1406093_CL119-2-4_HGU133_Plus_2.CEL	ischemic
GSM1406094_CL123-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406095_CL134-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406096_CL150-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406097_CL16-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406098_CL18-2-2_HGU133_Plus_2.CEL	ischemic
GSM1406099_CL22-2-5_HGU133_Plus_2.CEL	ischemic
GSM1406100_CL52-2-3_HGU133_Plus_2.CEL	ischemic
GSM1406101_CL56-2-5_HGU133_Plus_2.CEL	ischemic
GSM1406102_109-24_HGU133_Plus_2.CEL	ischemic
GSM1406103_119-24-1_HGU133_Plus_2.CEL	ischemic
GSM1406104_145-24_HGU133_Plus_2.CEL	ischemic
GSM1406105_202-24-2_HGU133_Plus_2.CEL	ischemic
GSM1406106_210-24-2_HGU133_Plus_2.CEL	ischemic
GSM1406107_225-24-4_HGU133_Plus_2.CEL	ischemic
GSM1406108_230-24_HGU133_Plus_2.CEL	ischemic
GSM1406109_235-24-5_HGU133_Plus_2.CEL	ischemic
GSM1406110_238-24_HGU133_Plus_2.CEL	ischemic
GSM1406111_243-24-4_HGU133_Plus_2.CEL	ischemic
GSM1406112_255-24-5_HGU133_Plus_2.CEL	ischemic
GSM1406113_263-24_HGU133_Plus_2.CEL	ischemic
GSM1406114_97-24H_HGU133_Plus_2.CEL	ischemic
GSM1406115_CL102-24-4_HGU133_Plus_2.CEL	ischemic
GSM1406116_CL104-24-3_HGU133_Plus_2.CEL	ischemic
GSM1406117_CL123-24-5_HGU133_Plus_2.CEL	ischemic
GSM1406118_CL134-24-2_HGU133_Plus_2.CEL	ischemic
GSM1406119_CL150-24-2_HGU133_Plus_2.CEL	ischemic
GSM1406120_CL16-24-5_HGU133_Plus_2.CEL	ischemic
GSM1406121_CL18-24-2_HGU133_Plus_2.CEL	ischemic
GSM1406122_CL22-24-3_HGU133_Plus_2.CEL	ischemic
GSM1406123_CL52-24-4_HGU133_Plus_2.CEL	ischemic
GSM1406124_CL56-24-6_HGU133_Plus_2.CEL	ischemic
